job_location_region_code,job_ts,total_jobs,total_weather_events
KS,2016-10-03,13,494
KS,2016-10-10,12,12
KS,2016-10-24,9,18
KS,2017-02-27,24,456
KS,2017-03-06,59,3363
KS,2017-03-20,64,1216
KS,2017-03-27,52,624
KS,2017-04-03,43,86
KS,2017-04-10,54,2916
KS,2017-04-17,49,1127
KS,2017-04-24,31,124
KS,2017-05-08,34,918
KS,2017-05-15,25,3550
KS,2017-05-22,29,1450
KS,2017-05-29,33,1023
KS,2017-06-05,32,160
KS,2017-06-12,28,4228
KS,2017-06-19,44,2200
KS,2017-06-26,28,812
KS,2017-07-03,19,133
KS,2017-07-10,28,28
KS,2017-07-17,22,220
KS,2017-07-31,42,462
KS,2017-08-07,29,754
KS,2017-08-14,52,1404
KS,2017-08-21,29,145
KS,2017-08-28,32,96
KS,2017-09-11,27,54
KS,2017-09-18,25,100
KS,2017-09-25,18,198
KS,2017-10-02,22,1232
KS,2017-10-09,31,93
KS,2017-10-16,20,60
KS,2018-03-19,75,2175
KS,2018-03-26,64,384
KS,2018-04-09,95,2565
KS,2018-04-23,93,558
KS,2018-04-30,94,17390
KS,2018-05-07,99,495
KS,2018-05-14,99,18513
KS,2018-05-21,93,3162
KS,2018-05-28,80,15040
KS,2018-06-04,80,2160
KS,2018-06-11,100,9000
KS,2018-06-18,109,19729
KS,2018-06-25,89,16465
KS,2018-07-02,82,164
KS,2018-07-09,71,355
KS,2018-07-16,70,6720
KS,2018-07-23,87,8439
KS,2018-07-30,101,2626
KS,2018-08-06,92,1656
KS,2018-08-13,93,5115
KS,2018-08-20,93,465
KS,2018-08-27,90,4680
KS,2018-09-03,64,256
KS,2018-09-17,100,1500
KS,2018-10-01,79,474
KS,2018-10-08,75,150
KS,2019-02-04,51,102
ND,2017-02-20,7,7
ND,2017-05-22,20,20
ND,2017-05-29,18,270
ND,2017-06-05,32,1600
ND,2017-06-12,14,56
ND,2017-06-26,15,45
ND,2017-07-03,6,252
ND,2017-07-10,17,408
ND,2017-07-17,9,405
ND,2017-07-24,11,66
ND,2017-07-31,25,325
ND,2017-08-07,30,360
ND,2017-08-14,7,7
ND,2017-08-21,23,69
ND,2017-08-28,9,54
ND,2017-09-18,11,88
ND,2018-05-07,32,32
ND,2018-05-14,40,120
ND,2018-05-21,13,169
ND,2018-05-28,20,960
ND,2018-06-04,31,1767
ND,2018-06-11,23,1610
ND,2018-06-25,29,1479
ND,2018-07-02,36,4932
ND,2018-07-09,50,1450
ND,2018-07-16,39,507
ND,2018-07-23,70,70
ND,2018-07-30,42,462
ND,2018-08-13,35,140
ND,2018-08-20,38,380
ND,2018-08-27,54,1512
ND,2018-09-03,48,624
ND,2018-09-10,53,636
NE,2016-10-03,8,176
NE,2016-11-21,10,10
NE,2017-03-06,31,186
NE,2017-03-20,34,238
NE,2017-04-03,51,459
NE,2017-04-10,48,3504
NE,2017-04-17,50,450
NE,2017-05-08,69,207
NE,2017-05-15,48,1536
NE,2017-06-05,49,343
NE,2017-06-12,47,6157
NE,2017-06-19,47,329
NE,2017-06-26,75,7050
NE,2017-07-03,74,2516
NE,2017-07-10,92,552
NE,2017-07-17,85,1530
NE,2017-07-24,89,178
NE,2017-07-31,90,1620
NE,2017-08-07,82,2460
NE,2017-08-14,85,4165
NE,2017-08-21,75,1575
NE,2017-08-28,59,118
NE,2017-09-11,57,855
NE,2017-09-18,52,260
NE,2017-09-25,42,210
NE,2017-10-02,32,768
NE,2017-10-09,37,37
NE,2018-03-19,84,84
NE,2018-04-09,78,156
NE,2018-04-30,228,17328
NE,2018-05-07,236,22184
NE,2018-05-14,175,3500
NE,2018-05-21,163,3586
NE,2018-05-28,116,12644
NE,2018-06-04,172,15480
NE,2018-06-11,261,17748
NE,2018-06-18,211,14981
NE,2018-06-25,226,14690
NE,2018-07-02,237,4503
NE,2018-07-09,253,1012
NE,2018-07-16,267,13884
NE,2018-07-23,194,12804
NE,2018-07-30,249,3486
NE,2018-08-06,370,18130
NE,2018-08-13,274,2192
NE,2018-08-20,216,216
NE,2018-08-27,165,5280
NE,2018-09-03,120,120
NE,2018-09-17,125,3875
NE,2018-10-01,107,214
OK,2016-10-03,4,80
OK,2016-10-17,3,3
OK,2016-10-24,5,20
OK,2016-10-31,7,7
OK,2017-02-27,4,20
OK,2017-03-06,6,180
OK,2017-03-20,6,102
OK,2017-03-27,8,208
OK,2017-04-03,12,516
OK,2017-04-10,9,9
OK,2017-04-17,8,208
OK,2017-04-24,14,854
OK,2017-05-01,8,120
OK,2017-05-08,17,697
OK,2017-05-15,16,1264
OK,2017-05-22,14,1246
OK,2017-06-05,10,10
OK,2017-06-12,6,162
OK,2017-06-19,18,90
OK,2017-06-26,10,180
OK,2017-07-03,10,100
OK,2017-07-31,17,17
OK,2017-08-07,11,44
OK,2017-08-14,9,18
OK,2017-08-21,11,11
OK,2017-08-28,9,9
OK,2017-09-18,14,14
OK,2017-10-16,14,266
OK,2017-12-04,9,18
OK,2018-01-15,15,15
OK,2018-02-19,23,92
OK,2018-03-05,24,72
OK,2018-03-19,25,125
OK,2018-03-26,20,120
OK,2018-04-02,28,224
OK,2018-04-09,23,299
OK,2018-04-30,28,1372
OK,2018-05-07,16,48
OK,2018-05-14,25,2425
OK,2018-05-21,23,345
OK,2018-05-28,16,2080
OK,2018-06-04,18,180
OK,2018-06-11,21,483
OK,2018-06-18,20,2280
OK,2018-06-25,28,2352
OK,2018-07-02,17,170
OK,2018-07-09,32,224
OK,2018-07-16,35,210
OK,2018-07-23,27,351
OK,2018-07-30,23,897
OK,2018-08-06,22,440
OK,2018-08-13,22,990
OK,2018-08-20,28,84
OK,2018-08-27,16,128
OK,2018-10-01,34,340
OK,2018-10-08,26,572
OK,2019-02-04,31,124
SD,2017-04-10,8,24
SD,2017-05-15,6,18
SD,2017-05-22,8,8
SD,2017-06-05,6,180
SD,2017-06-12,5,270
SD,2017-06-19,6,60
SD,2017-06-26,3,78
SD,2017-07-03,19,228
SD,2017-07-10,31,899
SD,2017-07-17,32,800
SD,2017-07-24,26,130
SD,2017-07-31,24,192
SD,2017-08-07,26,676
SD,2017-08-14,13,442
SD,2017-08-21,14,616
SD,2017-09-04,24,24
SD,2017-09-11,20,20
SD,2017-09-18,18,396
SD,2017-10-02,8,8
SD,2018-04-09,28,168
SD,2018-04-23,35,35
SD,2018-04-30,47,94
SD,2018-05-07,37,592
SD,2018-05-14,36,1908
